Metropolitan area,Country,Population,Area
Tokyo,Japan,32450000,8014
Seoul,South Korea,20550000,5076
Mexico City,Mexico,20450000,7346
New York City,United States,19750000,17884
Mumbai-Bombay,India,19200000,2350
Jakarta,Indonesia,18900000,5100
São Paulo,Brazil,18850000,8479
New Delhi,India,18600000,3182
Osaka-Kobe-Kyoto,Japan,17375000,6930
Shanghai,China,16650000,5177
Manila,Philippines,16300000,2521
Hong Kong,Hong Kong/China,15800000,3051
Los Angeles,United States,15250000,10780
Kolkata,India,15100000,1785
Moscow,Russia,15000000,14925
Cairo,Egypt,14450000,1600
Buenos Aires,Argentina,13170000,10888
London,United Kingdom,12875000,11391
Beijing,China,12500000,6562
Karachi,Pakistan,11800000,1100
